12467.3,0.0363439,143
25828.3,0.0231099,211
462.168,0.235849,53
7538.06,0.0154604,109
5202.68,0.0508911,101
5,0,3
2888.72,0.0274038,65
221.045,0.185714,21
62861.3,0.0627429,330
7.2,0,4
625.486,0.016092,30
631.436,0.0714286,29
3094.1,0.0443238,67
4906.71,0.0249433,99
15862,0.0394541,156
160246,0.0140781,548
172.222,0.0190476,15
12749.2,0.0806565,169
232.937,0.0789474,20
4708.48,0.0637409,88
21671,0.00926108,175
899.274,0.0161943,39
40616.5,0.0160623,230
17486.9,0.0139421,152
0,1,2
13026.3,0.080893,154
0,1,2
533.961,0.0343915,28
0,0,1
206.039,0,16
10,0.166667,4
58.7181,0.166667,12
4114.42,0.0382775,77
159.614,0.152381,21
1.94634e+06,0.00281248,1441
1161.63,0.0754936,42
1716.79,0.0144558,49
0,0,1
47.7573,0.242424,12
0,0,1
27944.2,0.00705053,185
1920.26,0.0138776,50
489.31,0.0735736,37
85.4263,0.0666667,15
474.416,0.0343915,28
35.5,0,7
468101,0.0357287,866
3813.21,0.0759241,78
48208.5,0.0147832,254
23285.3,0.0380429,196
78.9828,0.2,20
11.1732,0.528139,22
1023.35,0.138763,52
1147.39,0.003003,37
1285.07,0.021041,43
869.68,0.0796586,38
32472.4,0.0121669,202
1814.84,0.0412429,60
29589.9,0.0122242,197
56400.9,0.0317218,288
600.049,0.114114,37
24.8108,0.355556,10
49.7731,0.0666667,10
272.404,0.0905797,24
3.80175,0,4
1752.15,0.0660522,63
92776,0.0255463,361
101.849,0.0606061,12
31849.8,0.00705428,191
4,0.333333,3
1070.27,0.0675301,47
121.198,0.0641026,13
0.359413,0.4,5
9.59091,0.3,5
22245.6,0.00605923,163
588.458,0.0698413,36
0.0383449,0.666667,4
2,0,2
74.8205,0.0888889,10
3042.81,0.0372907,73
514.441,0.0802139,34
8341.6,0.0320142,112
0,0,1
6618.94,0.225529,184
3908.05,0.0660694,95
8561.39,0.0214607,108
441.172,0.11,25
3.05199,0.1,5
549.117,0.108871,32
304.691,0.134921,28
119.465,0.233846,26
32142.2,0.00818398,197
2612.55,0.0190375,62
11506.6,0.15356,166
209.669,0.138095,21
12464.5,0.023668,139
322.92,0.00952381,21
12446,0.0132773,122
27,0.0666667,6
8012.75,0.0449455,117
229.745,0.0130719,18
0.0383449,0.666667,4
4942.63,0.152475,108
29006.2,0.0708942,230
13125,0.016559,131
582.025,0.0270936,29
636.567,0.105263,39
416.686,0.298097,44
21.5589,0.527273,11
176.091,0,15
3571.11,0.0364912,76
25263.7,0.026674,191
7954.34,0.0176238,101
1659.4,0.199391,73
328.011,0.048433,27
76714.7,0.0170182,323
1541.32,0.0489796,50
206.529,0.0701754,19
412.447,0.0987903,32
1682.03,0.037234,48
2850.16,0.0383632,69
400.215,0.02,25
7090.35,0.0382485,108
6.17169,0.2,5
110.604,0.043956,14
17976,0.0252973,163
262.896,0.0526316,20
5.62114,0,4
19271.8,0.0202227,163
32.2333,0.047619,7
554.109,0.0374332,34
11334,0.0142932,124
4698.24,0.0208639,83
22.5427,0.166667,9
1878.71,0.0771526,69
17240.9,0.00793576,146
703.98,0.0359848,33
25831.2,0.0172172,193
2.67255,0.666667,7
103.628,0.255411,22
25532.8,0.0158152,188
3755.44,0.0357895,76
0,0,1
176418,0.0269898,519
717.838,0.0137931,30
4109.98,0.0170882,77
1.09986,0.428571,7
160.261,0.245059,23
1.41843,0.333333,6
8831.92,0.0266972,115
127.107,0.0571429,15
78626.4,0.0270777,399
591.297,0.0365591,31
4557.13,0.179361,111
0.015873,0,2
5381.51,0.27844,143
0,1,2
25447.6,0.0114243,179
1076.71,0.074359,40
45.5109,0.2,10
493.501,0.432316,72
17,0,5
800.999,0.0962567,34
437.505,0.0320197,29
275.541,0.103896,22
904.456,0.0825826,37
2909.36,0.0285714,70
501.208,0.037037,28
